district_id,latitude,longitude
0,22.5919675,88.39957005
1,22.5919675,88.39957005
2,19.6759452,78.5339895
3,23.7127275,76.0176929
4,27.1752554,78.0098161
5,23.0216238,72.5797068
6,19.25,74.75
7,26.4691,74.639
8,20.77031765,77.19080604
9,9.460189,76.28433466
10,27.8815412,78.0690216
11,22.29186455,74.35774313
12,25.4381302,81.8338005
13,29.6016827,79.6633829
14,27.5,76.5
15,30.3843674,76.770421
16,26.40349795,82.60728149
17,21.0857492,77.666978
18,20.866667,70.75
19,31.6343083,74.8736788
20,22.5584995,72.9625629
21,33.7366359,75.1457394
22,13.5831868,78.521165
23,20.8411255,85.08040066
24,23.03480545,81.75026641
25,26.26673945,87.35618411
26,11.1357708,79.0723203
27,25.18670025,84.67069631
28,24.576189,77.7302895
29,26.5193129,79.46988383
30,24.75,84.5
31,26.0,83.0
32,27.94225275,79.20666095
33,16.1853166,75.6967919
34,29.8084257,79.7817012
35,29.03877105,77.30757938
36,27.49816515,81.79547674
37,26.62781825,91.46148578
38,21.8133417,80.1916685
39,20.75,83.25
40,21.5017098,86.9216712
41,25.833333,84.166667
42,20.73218365,81.14335738
43,27.4295126,82.1854602
44,24.25,72.5
45,25.5008211,80.499762
46,13.0010872,77.3361225
47,12.94514225,77.553645
48,24.83332585,86.81339315
49,23.25,87.25
50,23.5,74.333333
51,26.93823105,81.38609761
52,24.921569,76.68279975
53,23.25,87.75
54,28.3523609,79.4096542
55,21.3474637,83.65427922
56,25.75,71.5
57,30.3762012,75.5435927
58,26.34142215,91.01674328
59,22.0333621,74.8978374
60,19.44566365,81.48281685
61,26.724789,82.79326865
62,20.6407463,83.99697043
63,18.9904059,75.7542291
64,25.5,86.25
65,15.8572666,74.5069343
66,15.1467299,76.9125211
67,21.833333,77.833333
68,20.86496315,87.02480343
69,25.2494829,86.9828131
70,21.183333,80.0
71,27.26593395,77.36729605
72,30.25,75.0
73,21.7718836,72.1416449
74,25.5,74.75
75,26.5,78.75
76,28.7931703,76.1391283
77,25.25,84.25
78,23.2530923,77.3962718
79,18.083333,77.333333
80,18.7935679,80.815939
81,29.416667,78.516667
82,28.0159286,73.3171367
83,22.0785627,82.1476475
84,24.0588937,87.69225597
85,24.56246365,93.80124837
86,26.4800126,90.5580387
87,28.5246712,77.5996529
88,20.583333,76.416667
89,25.5,75.833333
90,21.3118839,76.2291992
91,25.5063478,84.10471171
92,24.75863995,92.88166476
93,28.4808629,77.0848883
94,11.8142415,76.6862591
95,32.5,76.5
96,30.5,79.5
97,27.0,84.5
98,27.0,84.5
99,25.26561635,83.40637373
100,30.7194022,76.7646552
101,20.0,80.0
102,27.272007,96.06552596
103,13.083316,80.2787044
104,22.116667,78.8
105,13.4352549,77.7306866
106,13.5,75.5
107,26.6464231,90.62415699
108,14.2266443,76.4005122
109,25.2195207,81.10228243
110,24.5,74.5
111,13.30374115,78.98770102
112,28.3,74.97
113,11.0018115,76.9628425
114,11.74269375,79.75030644
115,20.4686,85.8792
116,23.75,79.583333
117,20.78948825,73.71834746
118,26.1569653,85.8995119
119,26.75,88.25
120,26.75,92.5
121,25.75,78.5
122,26.8146993,76.45191615
123,14.4664457,75.91975079
124,21.5934771,84.7433017
125,30.3255646,78.0436813
126,26.666667,83.75
127,23.0,76.166667
128,23.8253158,91.97322267
129,20.53727665,81.70915146
130,22.5,75.25
131,12.1347988,78.1589864
132,15.4540505,75.0066516
133,26.7009896,77.8967857
134,27.4668315,94.51786509
135,20.75,85.5
136,26.01894625,89.94188952
137,20.898,74.7732
138,27.4844597,94.9019447
139,25.9135914,93.7283707
140,25.62,88.12
141,25.22,88.76
142,22.9446796,81.0774969
143,33.7216495,76.4908802
144,23.666667,73.75
145,21.44201085,81.39983533
146,27.3,93.05
147,28.3,95.15
148,28.4808629,77.0848883
149,27.333333,88.666667
150,25.61849455,90.63421622
151,17.233496,81.7225986
152,25.4206558,91.83136756
153,21.75,76.583333
154,10.0383947,76.50741452
155,11.3306483,77.7276519
156,27.5,78.75
157,26.8063069,78.9969944
158,26.75,82.0
159,28.402837,77.3085626
160,30.6729772,74.7517033
161,27.3091827,79.45183831
162,29.5337732,75.56465147
163,30.6466737,76.3887563
164,25.75,80.75
165,30.4066889,74.0305245
166,30.598744,74.2032581
167,27.17736635,78.38991198
168,15.4263647,75.6300786
169,19.7563107,80.15844303
170,19.19557415,84.19297736
171,34.28345985,75.03462246
172,23.2232877,72.6492267
173,29.5,74.0
174,19.5,84.5
175,20.52684285,82.187831
176,24.7964355,85.0079563
177,28.711241,77.4445372
178,25.5,83.5
179,15.6204523,73.7648309
180,15.6204523,73.7648309
181,26.04918765,90.60018586
182,26.40490095,94.03209112
183,27.25,82.0
184,21.1387231,80.25856501
185,26.5,84.333333
186,26.7600217,83.3668129
187,17.3310003,76.8334228
188,24.5,77.5
189,16.2915189,80.4541588
190,32.166667,75.316667
191,28.4646148,77.0299194
192,26.2,78.2
193,24.68845365,92.57381528
194,31.7491333,76.5036832
195,29.3665429,74.29300426
196,22.3388828,77.0929933
197,27.4164715,80.2473372
198,29.9384473,78.1452985
199,13.0070817,76.0992703
200,14.7874825,75.3996731
201,19.536427,77.21804148
202,29.9985207,76.5929517
203,24.5109942,88.074211
204,22.6503147,77.7509281
205,31.5328523,75.9025485
206,22.4914615,88.02928966
207,17.38878595,78.46106473
208,9.8497872,76.9797914
209,24.85154025,94.00947958
210,24.757326,93.85847858
211,22.7203851,75.8682103
212,23.1608938,79.9497702
213,20.05297835,86.56603003
214,26.916194,75.820349
215,26.9116615,70.9124888
216,20.8277892,86.37983526
217,31.3323762,75.576889
218,26.10520395,79.4266263
219,21.0137606,75.5627048
220,19.96549,75.82704636
221,25.166667,72.25
222,26.5242688,88.7201082
223,32.7333,74.8667
224,22.25,70.0
225,24.7565748,86.29771957
226,21.9671264,82.66472425
227,22.76678355,83.95304519
228,25.7472,82.689
229,25.2113384,84.9873701
230,22.8750396,74.7128601
